# location_name,region,description
India,South Asia,Country in South Asia
Bangalore,India,IT Hub of India
Canada,North America,North American country
USA,North America,United States of America
New York,USA,Major US city
North America,Continental,Continental region
California,USA,US West Coast state
Texas,USA,US Southern state
Florida,USA,US Southeastern state
Silicon Valley,California,Tech hub in California
Los Angeles,California,California city
Chicago,Illinois,Illinois city
Seattle,Washington,Washington state city
Austin,Texas,Texas city
Wall Street,New York,Financial district in NYC

